date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,snow_depth_meteostat,wind_speed_meteostat,wind_gust_meteostat,pressure_meteostat,sunshine_meteostat,cloud_cover_meteostat
2024-07-25,37.8,32.1,42.8,35,0.0,,13.9,,991.9,,0
2024-07-26,37.6,31.8,42.7,44,0.0,,12.9,,993.7,,0
2024-07-27,37.8,33.4,42.3,37,0.0,,14.5,,995.5,,1
2024-07-28,36.4,32.7,40.4,54,0.0,,17.1,,994.4,,2
2024-07-29,36.3,32.6,41.6,54,0.0,,15.0,,992.4,,1
2024-07-30,39.0,33.6,45.3,50,0.0,,18.1,,993.7,,1
2024-07-31,39.0,35.0,44.2,42,0.0,,16.4,,996.1,,2
2024-08-01,39.3,36.0,43.8,42,0.0,,15.4,,995.3,,2
2024-08-02,37.0,34.0,40.3,62,0.0,,11.8,,993.5,,1
2024-08-03,37.1,34.0,43.7,63,0.0,,13.5,,993.7,,3
2024-08-04,35.6,33.5,40.6,66,0.0,,13.5,,994.6,,2
2024-08-05,36.8,32.9,42.0,60,0.0,,18.0,,995.5,,2
2024-08-06,36.1,32.2,40.1,49,0.0,,15.0,,997.3,,5
2024-08-07,36.7,33.9,40.9,50,0.0,,13.9,,997.3,,4
2024-08-08,37.1,33.0,43.1,51,0.0,,19.6,,997.2,,1
2024-08-09,36.4,32.7,42.2,51,0.0,,23.7,,999.1,,0
2024-08-10,36.5,32.0,43.0,51,0.0,,19.1,,999.5,,2
2024-08-11,37.5,32.7,42.5,49,0.0,,16.0,,997.7,,1
2024-08-12,38.6,35.0,43.0,44,0.0,,14.9,,996.7,,0
2024-08-13,38.3,34.0,44.2,44,0.0,,15.1,,998.3,,0
2024-08-14,37.9,33.8,43.6,50,0.0,,17.0,,999.3,,0
2024-08-15,37.5,33.7,43.0,51,0.0,,15.8,,998.8,,0
2024-08-16,37.4,35.0,41.1,46,0.0,,11.6,,995.9,,0
2024-08-17,36.1,32.7,42.1,54,0.0,,23.8,,996.2,,1
2024-08-18,36.0,32.5,41.5,54,0.0,,25.9,,998.8,,2
2024-08-19,36.4,33.0,42.0,52,0.0,,19.8,,1000.1,,3
2024-08-20,36.6,32.3,41.0,53,0.0,,18.7,,999.4,,2
2024-08-21,34.8,31.4,39.7,56,0.0,,21.1,,1001.6,,1
2024-08-22,35.2,31.9,40.4,52,0.0,,16.5,,1002.1,,1
2024-08-23,36.0,33.4,41.0,53,0.0,,14.3,,1001.8,,1
2024-08-24,37.9,33.7,41.1,47,0.0,,13.0,,1001.4,,1
2024-08-25,37.4,34.9,43.5,43,0.0,,12.7,,1001.0,,0
2024-08-26,35.9,33.0,40.2,54,0.0,,13.2,,999.5,,0
2024-08-27,35.9,32.8,43.0,62,0.0,,12.5,,998.5,,0
2024-08-28,36.9,32.7,46.3,61,0.0,,12.8,,999.3,,0
2024-08-29,36.8,33.3,42.3,52,0.0,,11.5,,998.9,,0
2024-08-30,35.6,31.8,40.3,69,0.0,,12.0,,998.3,,1
2024-08-31,39.0,33.0,46.0,38,,,18.8,,999.0,,1
2024-09-01,35.9,32.0,42.1,44,0.0,,17.9,,1000.9,,1
2024-09-02,36.7,32.0,42.0,38,0.0,,14.4,,1001.8,,1
2024-09-03,36.8,31.5,44.8,44,0.0,,15.7,,1001.9,,1
2024-09-04,35.6,30.9,42.0,48,0.0,,14.9,,1002.4,,0
2024-09-05,35.3,31.7,40.4,53,0.0,,15.8,,1000.8,,0
2024-09-06,34.7,31.0,37.8,58,0.0,,11.6,,1000.9,,0
2024-09-07,35.3,30.4,41.4,56,0.0,,12.0,,1002.1,,0
2024-09-08,35.7,30.6,43.9,52,0.0,,14.2,,1003.4,,0
2024-09-09,35.5,31.3,41.1,51,0.0,,12.4,,1003.0,,0
2024-09-10,34.1,30.0,38.9,70,0.0,,11.7,,1001.3,,0
2024-09-11,36.6,31.0,41.9,51,0.0,,12.6,,1000.4,,0
2024-09-12,37.9,31.4,45.2,24,0.0,,12.6,,1000.8,,0
2024-09-13,36.4,33.0,41.7,34,0.0,,12.8,,1000.5,,0
2024-09-14,34.7,30.8,40.9,55,0.0,,14.5,,1000.1,,0
2024-09-15,35.2,30.7,41.0,56,0.0,,16.0,,1001.5,,0
2024-09-16,34.4,30.1,40.0,50,0.0,,11.9,,1003.8,,0
2024-09-17,34.1,29.9,38.5,53,0.0,,12.9,,1005.5,,0
2024-09-18,34.2,30.2,39.1,54,0.0,,14.9,,1004.9,,0
2024-09-19,33.7,30.9,37.7,63,0.0,,13.4,,1005.1,,0
2024-09-20,33.8,30.7,37.0,63,0.0,,13.0,,1005.7,,0
2024-09-21,34.4,30.9,38.0,57,0.0,,13.4,,1005.2,,0
2024-09-22,36.0,30.5,42.6,47,0.0,,11.6,,1005.1,,0
2024-09-23,35.6,31.0,42.0,43,0.0,,11.2,,1004.9,,0
2024-09-24,34.3,29.8,38.9,65,0.0,,12.1,,1003.7,,0
2024-09-25,34.2,30.6,39.8,69,0.0,,12.1,,1001.8,,0
2024-09-26,33.6,29.6,41.4,72,0.0,,11.9,,1001.2,,1
2024-09-27,33.4,29.5,38.8,71,0.0,,11.7,,1001.8,,0
2024-09-28,33.5,30.3,38.9,70,0.0,,11.3,,1002.6,,0
2024-09-29,34.2,31.0,40.3,57,0.0,,16.5,,1004.7,,1
2024-09-30,33.6,30.4,38.3,57,0.0,,17.9,,1007.9,,1
2024-10-01,33.6,29.8,37.4,54,0.0,,13.8,,1007.5,,0
2024-10-02,34.3,31.0,39.5,56,0.0,,14.5,,1008.0,,0
2024-10-03,34.2,30.4,39.0,59,0.0,,15.7,,1007.4,,0
2024-10-04,33.9,29.5,37.6,65,0.0,,15.6,,1005.5,,0
2024-10-05,33.2,30.5,36.0,54,0.0,,15.9,,1005.5,,0
2024-10-06,32.5,29.4,37.0,55,0.0,,12.8,,1007.2,,0
2024-10-07,33.9,30.4,38.5,47,0.0,,13.1,,1010.2,,2
2024-10-08,33.4,29.0,39.7,48,0.0,,13.8,,1011.4,,0
2024-10-09,32.8,29.9,37.6,53,0.0,,15.7,,1010.3,,0
2024-10-10,32.6,29.5,37.5,60,0.0,,13.1,,1009.0,,1
2024-10-11,32.8,30.0,37.2,54,0.0,,11.8,,1008.7,,0
2024-10-12,32.8,28.5,38.6,56,0.0,,12.6,,1008.4,,0
2024-10-13,32.5,29.6,36.6,51,0.0,,12.1,,1008.1,,0
2024-10-14,33.3,29.5,37.9,46,0.0,,15.1,,1008.2,,0
2024-10-15,32.6,29.0,38.0,48,0.0,,17.3,,1009.4,,1
2024-10-16,32.1,29.0,37.0,54,0.0,,18.0,,1009.8,,1
2024-10-17,31.9,29.0,35.9,58,0.0,,14.8,,1009.5,,1
2024-10-18,32.8,29.0,37.5,61,0.0,,13.1,,1008.5,,1
2024-10-19,33.3,29.8,37.9,57,0.0,,14.3,,1009.4,,2
2024-10-20,33.1,30.4,37.7,64,0.0,,14.2,,1009.8,,0
2024-10-21,32.5,29.1,38.5,65,0.0,,12.8,,1009.3,,0
2024-10-22,31.7,28.4,37.1,70,0.0,,13.8,,1010.0,,0
2024-10-23,32.3,27.7,38.3,59,0.0,,14.2,,1011.4,,0
2024-10-24,33.2,29.6,39.8,51,0.0,,14.0,,1011.8,,0
2024-10-25,32.1,29.7,36.2,54,0.0,,14.4,,1012.5,,1
2024-10-26,31.6,28.8,35.4,65,0.0,,14.4,,1013.0,,0
2024-10-27,31.4,27.9,35.0,61,0.0,,14.9,,1012.3,,0
2024-10-28,31.4,30.0,33.0,54,0.0,,18.6,,1010.1,,1
2024-10-29,30.2,25.6,33.6,52,0.0,,16.9,,1010.1,,0
2024-10-30,29.7,24.7,33.2,50,0.0,,15.4,,1010.6,,1
2024-10-31,30.2,25.6,35.6,54,0.0,,11.5,,1012.0,,1
2024-11-01,30.8,26.9,35.5,57,0.0,,12.3,,1013.4,,0
2024-11-02,30.6,27.3,34.1,57,0.0,,12.2,,1014.4,,0
2024-11-03,29.8,26.0,35.0,65,0.0,,11.0,,1013.6,,0
2024-11-04,30.0,25.3,34.6,63,0.0,,8.9,,1012.5,,0
2024-11-05,30.8,25.9,36.0,56,0.0,,8.5,,1012.6,,0
2024-11-06,30.3,26.5,36.3,62,0.0,,11.3,,1014.7,,0
2024-11-07,30.1,26.9,34.9,65,0.0,,11.6,,1015.1,,0
2024-11-08,28.9,25.4,34.2,63,0.0,,11.0,,1014.1,,0
2024-11-09,28.8,24.6,34.0,57,0.0,,9.5,,1013.8,,0
2024-11-10,29.1,25.0,33.0,61,0.0,,11.1,,1014.9,,0
2024-11-11,29.6,25.7,33.9,60,0.0,,12.0,,1015.2,,0
2024-11-12,29.4,25.5,33.1,60,0.0,,12.6,,1013.6,,0
2024-11-13,28.8,25.4,32.4,61,0.0,,11.1,,1011.7,,0
2024-11-14,28.8,24.9,33.0,68,0.0,,13.5,,1011.6,,1
2024-11-15,28.3,24.5,32.3,61,0.0,,14.0,,1013.8,,1
2024-11-16,27.3,23.3,30.6,53,0.0,,14.5,,1014.2,,1
2024-11-17,27.4,22.2,31.4,50,0.0,,11.4,,1013.3,,1
2024-11-18,27.8,24.0,33.0,47,0.0,,9.2,,1013.8,,0
2024-11-19,27.5,23.0,32.0,53,0.0,,10.5,,1015.3,,0
2024-11-20,27.7,24.0,31.0,56,0.0,,9.7,,1015.0,,0
2024-11-21,27.2,24.0,31.0,58,0.0,,11.1,,1014.4,,0
2024-11-22,27.4,23.7,32.1,67,0.0,,10.4,,1014.0,,0
2024-11-23,27.7,22.9,31.2,69,0.0,,10.2,,1013.9,,2
2024-11-24,27.0,23.0,31.4,64,0.0,,11.1,,1013.4,,1
2024-11-25,27.6,23.6,32.9,62,0.0,,10.5,,1013.9,,0
2024-11-26,27.9,24.7,32.6,59,0.0,,10.8,,1015.1,,1
2024-11-27,28.2,23.7,33.4,58,0.0,,10.4,,1013.9,,0
2024-11-28,27.5,23.6,31.2,66,0.0,,18.0,,1014.3,,2
2024-11-29,25.9,24.9,28.4,56,0.0,,21.7,,1016.2,,2
2024-11-30,25.0,21.0,27.7,51,0.0,,21.0,,1015.8,,2
2024-12-01,24.8,24.0,26.0,47,0.0,,21.0,,1013.7,,2
2024-12-02,23.7,19.0,26.5,50,0.0,,12.0,,1013.5,,2
2024-12-03,23.5,18.9,27.0,42,0.0,,11.3,,1015.8,,1
2024-12-04,23.9,19.8,27.6,41,0.0,,10.7,,1017.2,,0
2024-12-05,23.8,19.5,27.0,46,0.0,,9.6,,1017.4,,0
2024-12-06,24.7,20.0,28.4,60,0.0,,8.8,,1017.7,,0
2024-12-07,25.7,22.3,30.0,61,0.0,,10.3,,1017.4,,1
2024-12-08,25.2,20.3,30.3,44,0.0,,12.7,,1019.1,,0
2024-12-09,24.4,18.7,29.7,44,0.0,,11.5,,1018.3,,0
2024-12-10,24.2,20.0,27.3,55,0.0,,10.2,,1016.8,,2
2024-12-11,24.6,20.7,29.5,52,0.0,,14.7,,1017.9,,2
2024-12-12,24.1,20.4,29.2,47,0.0,,11.2,,1017.9,,1
2024-12-13,24.0,19.7,28.3,49,0.0,,10.2,,1016.8,,1
2024-12-14,23.8,19.6,27.5,51,0.0,,11.7,,1016.6,,1
2024-12-15,22.2,18.3,26.0,54,0.2,,13.7,,1019.5,,2
2024-12-16,22.2,18.0,25.0,51,0.0,,11.9,,1020.9,,2
2024-12-17,22.0,18.4,25.6,41,0.0,,9.6,,1019.3,,1
2024-12-18,21.0,19.0,25.0,51,0.0,,13.8,,1016.6,,4
2024-12-19,21.3,17.0,25.1,54,0.0,,10.5,,1016.0,,3
2024-12-20,21.7,16.7,26.6,52,0.0,,9.1,,1016.7,,1
2024-12-21,20.9,15.9,25.3,54,0.0,,11.1,,1015.1,,1
2024-12-22,20.3,15.6,25.0,60,0.0,,15.9,,1014.8,,2
2024-12-23,20.8,15.9,25.6,60,0.0,,10.4,,1016.1,,2
2024-12-24,22.9,18.0,27.4,57,0.0,,10.2,,1016.9,,1
2024-12-25,22.2,18.6,26.4,59,0.0,,10.7,,1018.2,,1
2024-12-26,22.5,18.0,27.0,60,0.0,,9.7,,1020.4,,1
2024-12-27,23.0,19.0,28.5,50,0.0,,10.3,,1021.2,,0
2024-12-28,22.9,17.9,28.0,50,0.0,,10.4,,1020.5,,1
2024-12-29,22.6,17.5,26.9,60,0.0,,9.8,,1019.5,,2
2024-12-30,23.3,19.9,27.5,71,0.0,,9.1,,1017.9,,2
2024-12-31,24.4,21.0,28.7,63,0.0,,9.4,,1016.9,,3
2025-01-01,22.7,20.0,27.2,60,0.0,,17.1,,1016.1,,4
2025-01-02,21.8,20.4,23.7,42,0.0,,28.8,,1018.5,,2
2025-01-03,19.4,16.7,23.4,42,0.0,,13.2,,1020.4,,2
2025-01-04,19.3,13.0,23.1,36,0.0,,12.0,,1021.4,,1
2025-01-05,19.2,14.5,23.3,47,0.0,,10.9,,1020.8,,2
2025-01-06,20.4,14.8,26.5,49,0.0,,13.1,,1019.5,,0
2025-01-07,21.1,16.0,27.5,49,0.0,,10.9,,1019.4,,3
2025-01-08,20.6,15.5,25.6,54,0.0,,10.7,,1017.4,,3
2025-01-09,20.3,16.5,24.5,68,0.0,,11.8,,1015.6,,2
2025-01-10,20.6,15.6,25.2,62,0.0,,11.1,,1017.7,,1
2025-01-11,21.9,16.0,28.2,45,0.0,,10.0,,1018.7,,0
2025-01-12,21.7,15.5,27.0,43,0.0,,9.8,,1018.3,,0
2025-01-13,21.4,17.9,24.0,62,0.4,,15.7,,1018.6,,3
2025-01-14,20.5,16.6,24.2,59,0.0,,13.5,,1019.1,,2
2025-01-15,21.3,16.3,25.3,59,0.0,,11.2,,1020.8,,1
2025-01-16,21.7,17.5,25.6,58,0.0,,11.4,,1020.5,,1
2025-01-17,19.9,16.5,23.9,68,0.0,,12.2,,1017.5,,1
2025-01-18,20.4,16.4,23.8,57,0.0,,18.9,,1014.3,,3
2025-01-19,20.0,15.5,23.5,50,0.0,,17.0,,1015.5,,3
2025-01-20,19.6,15.0,23.0,52,0.0,,13.7,,1017.2,,2
2025-01-21,20.4,15.0,24.4,50,0.0,,22.8,,1017.3,,2
2025-01-22,20.5,16.0,25.9,41,0.0,,16.2,,1019.5,,1
2025-01-23,20.3,15.4,25.4,38,0.0,,14.2,,1021.0,,0
2025-01-24,20.7,14.7,26.7,37,0.0,,12.5,,1018.1,,0
2025-01-25,20.4,14.6,24.8,42,0.0,,9.1,,1017.4,,0
2025-01-26,20.9,15.5,25.1,53,0.0,,10.1,,1016.7,,0
2025-01-27,22.1,16.0,27.0,59,0.0,,9.9,,1014.9,,2
2025-01-28,22.0,18.2,25.4,66,0.0,,16.6,,1014.9,,2
2025-01-29,21.1,16.9,24.2,57,0.0,,15.3,,1017.6,,1
2025-01-30,20.7,15.7,24.5,59,0.0,,11.6,,1018.0,,1
2025-01-31,21.2,20.0,23.7,44,0.0,,15.4,,1016.7,,2
2025-02-01,20.7,15.0,25.3,46,0.0,,10.6,,1016.6,,0
2025-02-02,20.4,16.0,23.4,48,0.0,,16.5,,1016.7,,2
2025-02-03,20.5,16.3,24.1,43,0.0,,14.0,,1017.4,,3
2025-02-04,19.6,14.8,24.2,51,0.0,,12.3,,1018.9,,1
2025-02-05,19.8,14.5,26.6,56,0.0,,9.9,,1016.9,,1
2025-02-06,22.8,16.6,30.0,53,0.0,,13.2,,1014.2,,2
2025-02-07,23.4,20.4,28.0,59,0.0,,16.0,,1013.5,,4
2025-02-08,23.5,21.0,29.0,64,0.0,,20.3,,1012.7,,3
2025-02-09,21.5,20.9,24.5,58,0.0,,17.1,,1014.2,,5
2025-02-10,20.2,16.8,23.0,55,0.0,,13.8,,1016.7,,3
2025-02-11,21.0,16.0,25.3,54,0.0,,10.2,,1017.6,,2
2025-02-12,24.6,19.3,32.0,48,0.0,,11.8,,1016.3,,3
2025-02-13,26.8,22.0,33.2,36,0.0,,14.2,,1015.8,,5
2025-02-14,25.4,23.0,30.9,52,0.0,,14.8,,1016.4,,6
2025-02-15,23.2,20.4,26.7,71,0.0,,13.0,,1015.1,,4
2025-02-16,24.2,21.9,27.2,60,0.0,,12.4,,1014.2,,5
2025-02-17,26.4,22.5,32.5,52,0.0,,15.8,,1013.7,,5
2025-02-18,23.8,22.0,27.3,60,0.0,,10.8,,1015.0,,4
2025-02-19,23.3,21.0,26.2,58,0.3,,11.3,,1014.7,,3
2025-02-20,23.4,19.6,28.0,54,0.6,,11.2,,1011.7,,4
2025-02-21,25.9,23.0,31.1,48,0.3,,12.9,,1013.2,,2
2025-02-22,24.6,21.0,29.2,59,0.0,,9.8,,1015.1,,1
2025-02-23,27.3,20.8,35.4,47,0.0,,13.1,,1012.2,,2
2025-02-24,25.0,24.0,28.1,65,0.0,,12.8,,1012.1,,4
2025-02-25,21.8,19.8,24.6,60,0.0,,22.6,,1016.3,,6
2025-02-26,20.4,16.8,23.1,55,0.0,,13.6,,1019.0,,5
2025-02-27,20.7,20.0,22.2,55,0.0,,20.6,,1018.1,,7
2025-02-28,21.0,19.0,23.0,51,0.0,,19.9,,1016.4,,3
2025-03-01,20.3,16.0,24.0,56,0.0,,12.8,,1015.1,,2
2025-03-02,21.2,17.6,24.5,55,0.0,,16.0,,1014.8,,2
2025-03-03,21.4,18.0,24.7,41,0.0,,14.6,,1017.4,,1
2025-03-04,24.0,17.1,30.5,38,0.0,,18.9,,1016.8,,2
2025-03-05,25.3,21.7,31.6,42,0.0,,18.8,,1016.7,,4
2025-03-06,26.4,21.6,32.1,37,0.0,,12.6,,1015.9,,2
2025-03-07,29.5,23.9,34.6,24,0.0,,12.0,,1013.1,,2
2025-03-08,29.3,24.5,37.4,20,0.0,,13.3,,1009.5,,2
2025-03-09,27.7,25.0,32.3,32,0.0,,15.8,,1010.3,,4
2025-03-10,27.3,24.7,31.0,48,0.8,,13.2,,1012.5,,5
2025-03-11,29.4,25.6,36.2,38,0.0,,10.5,,1012.8,,5
2025-03-12,27.7,25.0,31.6,41,0.0,,11.3,,1013.4,,5
2025-03-13,24.4,22.0,28.0,60,0.0,,14.5,,1013.6,,4
2025-03-14,23.7,18.3,28.0,68,0.0,,11.1,,1013.7,,0
2025-03-15,25.3,19.0,31.3,60,0.0,,12.6,,1014.1,,1
2025-03-16,26.6,20.8,34.4,51,0.0,,13.1,,1015.1,,2
2025-03-17,25.1,23.8,29.8,61,0.0,,11.1,,1014.5,,3
2025-03-18,23.4,17.0,29.3,66,0.0,,13.3,,1013.5,,1
2025-03-19,24.4,18.8,30.0,51,0.0,,11.5,,1013.4,,1
2025-03-20,27.5,20.0,33.0,43,0.0,,9.2,,1013.8,,1
2025-03-21,29.1,22.8,38.5,32,0.0,,13.3,,1014.5,,1
2025-03-22,30.3,26.5,36.2,20,0.0,,16.0,,1013.5,,1
2025-03-23,28.7,25.9,35.6,32,0.0,,13.8,,1013.0,,4
2025-03-24,24.3,22.0,27.4,61,0.0,,19.6,,1015.2,,3
2025-03-25,22.1,20.8,25.0,54,0.0,,25.4,,1014.4,,2
2025-03-26,22.3,17.0,26.6,58,0.0,,15.6,,1012.5,,1
2025-03-27,24.3,19.0,29.5,60,0.0,,12.9,,1013.2,,1
2025-03-28,27.1,20.6,30.2,55,0.0,,11.7,,1013.1,,2
2025-03-29,27.2,22.0,33.0,39,0.0,,13.4,,1012.4,,1
2025-03-30,28.4,22.6,34.0,37,0.0,,11.3,,1012.3,,1
2025-03-31,29.4,24.6,36.1,27,0.0,,11.0,,1012.4,,1
2025-04-01,28.5,24.4,35.7,32,0.0,,12.3,,1011.3,,1
2025-04-02,28.2,22.9,33.0,37,0.0,,10.2,,1010.1,,0
2025-04-03,29.7,23.7,38.9,42,0.0,,11.3,,1009.9,,1
2025-04-04,32.6,25.8,39.7,23,0.0,,11.6,,1010.6,,1
2025-04-05,32.7,27.6,40.5,17,0.0,,13.0,,1011.1,,1
2025-04-06,32.5,27.0,40.8,21,0.0,,11.8,,1010.8,,1
2025-04-07,32.2,27.0,39.6,26,0.0,,12.3,,1010.9,,3
2025-04-08,30.9,25.0,37.2,32,0.0,,12.4,,1010.1,,2
2025-04-09,28.5,24.0,32.0,53,0.0,,13.5,,1009.0,,0
2025-04-10,28.3,23.5,34.1,56,0.0,,12.2,,1006.3,,0
2025-04-11,30.1,23.7,38.1,50,0.0,,12.0,,1003.5,,0
2025-04-12,33.7,27.5,40.4,27,0.0,,10.8,,1003.7,,0
2025-04-13,35.5,31.0,40.2,20,0.0,,13.6,,1006.7,,0
2025-04-14,34.8,29.1,42.2,26,0.0,,12.4,,1008.1,,1
2025-04-15,33.3,31.0,41.7,29,0.0,,14.4,,1008.1,,3
2025-04-16,30.2,26.1,35.7,54,0.0,,14.8,,1009.1,,0
