location_id,location_name,timezone,country_code,sensor_id,sensor_name,parameter,parameter_source_name,units,period_label,date_local_start,date_local_end,date_utc_start,date_utc_end,value,summary_min,summary_max,summary_median,coverage_expected_count,coverage_observed_count,coverage_percent_complete,coverage_percent_coverage
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-25T00:00:00+04:00,2024-07-26T00:00:00+04:00,2024-07-24T20:00:00Z,2024-07-25T20:00:00Z,57.4,47.55000019073486,64.91666666666667,57.483333587646484,24,5,21.0,21.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-26T00:00:00+04:00,2024-07-27T00:00:00+04:00,2024-07-25T20:00:00Z,2024-07-26T20:00:00Z,52.4,28.52916669845581,73.55833307902019,52.6833332379659,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-27T00:00:00+04:00,2024-07-28T00:00:00+04:00,2024-07-26T20:00:00Z,2024-07-27T20:00:00Z,57.3,36.46666685740153,81.08333206176758,54.558333555857345,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-28T00:00:00+04:00,2024-07-29T00:00:00+04:00,2024-07-27T20:00:00Z,2024-07-28T20:00:00Z,30.2,22.366666793823242,42.38333320617676,28.016666412353516,24,23,96.0,96.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-29T00:00:00+04:00,2024-07-30T00:00:00+04:00,2024-07-28T20:00:00Z,2024-07-29T20:00:00Z,38.0,24.170833428700764,52.399999936421715,36.78333330154419,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-30T00:00:00+04:00,2024-07-31T00:00:00+04:00,2024-07-29T20:00:00Z,2024-07-30T20:00:00Z,47.6,34.63333257039388,56.99166615804037,48.16250038146973,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-07-31T00:00:00+04:00,2024-08-01T00:00:00+04:00,2024-07-30T20:00:00Z,2024-07-31T20:00:00Z,38.9,30.583333174387615,45.233333587646484,38.51041682561238,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-01T00:00:00+04:00,2024-08-02T00:00:00+04:00,2024-07-31T20:00:00Z,2024-08-01T20:00:00Z,34.3,19.133333206176758,62.233333587646484,31.443749745686848,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-02T00:00:00+04:00,2024-08-03T00:00:00+04:00,2024-08-01T20:00:00Z,2024-08-02T20:00:00Z,72.9,48.96666653951009,96.68333371480306,70.49861081441244,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-03T00:00:00+04:00,2024-08-04T00:00:00+04:00,2024-08-02T20:00:00Z,2024-08-03T20:00:00Z,64.9,56.79999987284342,79.13333384195964,64.20625082651773,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-04T00:00:00+04:00,2024-08-05T00:00:00+04:00,2024-08-03T20:00:00Z,2024-08-04T20:00:00Z,47.0,34.33333375718858,75.52500025431316,44.729166984558105,24,23,96.0,96.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-05T00:00:00+04:00,2024-08-06T00:00:00+04:00,2024-08-04T20:00:00Z,2024-08-05T20:00:00Z,42.6,29.833333174387615,53.433332761128746,45.52708339691162,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-06T00:00:00+04:00,2024-08-07T00:00:00+04:00,2024-08-05T20:00:00Z,2024-08-06T20:00:00Z,27.3,18.899999777475994,45.05833307902018,22.716666539510094,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-07T00:00:00+04:00,2024-08-08T00:00:00+04:00,2024-08-06T20:00:00Z,2024-08-07T20:00:00Z,36.6,22.516666889190674,63.104166666666664,32.32499996821086,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-08T00:00:00+04:00,2024-08-09T00:00:00+04:00,2024-08-07T20:00:00Z,2024-08-08T20:00:00Z,26.2,15.683333237965902,63.18749968210856,24.633333126703896,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-09T00:00:00+04:00,2024-08-10T00:00:00+04:00,2024-08-08T20:00:00Z,2024-08-09T20:00:00Z,20.3,10.587500015894571,30.583333015441895,19.23333319028219,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-10T00:00:00+04:00,2024-08-11T00:00:00+04:00,2024-08-09T20:00:00Z,2024-08-10T20:00:00Z,17.5,9.616666714350382,28.541666507720947,17.44166680177053,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-11T00:00:00+04:00,2024-08-12T00:00:00+04:00,2024-08-10T20:00:00Z,2024-08-11T20:00:00Z,21.3,13.916666666666666,26.46666669845581,22.331249872843426,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-12T00:00:00+04:00,2024-08-13T00:00:00+04:00,2024-08-11T20:00:00Z,2024-08-12T20:00:00Z,27.7,22.708333492279053,35.087499936421715,27.204166730244957,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-13T00:00:00+04:00,2024-08-14T00:00:00+04:00,2024-08-12T20:00:00Z,2024-08-13T20:00:00Z,24.4,17.766666412353516,34.77500025431315,23.52083341280619,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-14T00:00:00+04:00,2024-08-15T00:00:00+04:00,2024-08-13T20:00:00Z,2024-08-14T20:00:00Z,25.6,20.06666660308838,33.92083295186361,25.69166660308838,24,23,96.0,96.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-15T00:00:00+04:00,2024-08-16T00:00:00+04:00,2024-08-14T20:00:00Z,2024-08-15T20:00:00Z,27.3,19.266666889190674,35.200000603993736,28.914583285649616,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-16T00:00:00+04:00,2024-08-17T00:00:00+04:00,2024-08-15T20:00:00Z,2024-08-16T20:00:00Z,46.5,39.08750025431315,52.666666984558105,47.06749992370605,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-17T00:00:00+04:00,2024-08-18T00:00:00+04:00,2024-08-16T20:00:00Z,2024-08-17T20:00:00Z,26.8,15.116666793823242,55.400001525878906,23.78333282470703,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-18T00:00:00+04:00,2024-08-19T00:00:00+04:00,2024-08-17T20:00:00Z,2024-08-18T20:00:00Z,26.4,21.366666793823242,35.42916488647461,25.952083587646484,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-19T00:00:00+04:00,2024-08-20T00:00:00+04:00,2024-08-18T20:00:00Z,2024-08-19T20:00:00Z,26.8,19.15000009536743,38.666666666666664,25.722916841506958,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-20T00:00:00+04:00,2024-08-21T00:00:00+04:00,2024-08-19T20:00:00Z,2024-08-20T20:00:00Z,19.8,11.77916669845581,25.1833332379659,20.59583330154419,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-21T00:00:00+04:00,2024-08-22T00:00:00+04:00,2024-08-20T20:00:00Z,2024-08-21T20:00:00Z,16.9,7.704166690508525,31.116666158040363,17.89374999205271,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-22T00:00:00+04:00,2024-08-23T00:00:00+04:00,2024-08-21T20:00:00Z,2024-08-22T20:00:00Z,18.4,6.408333381017049,27.833333174387615,19.685416539510094,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-23T00:00:00+04:00,2024-08-24T00:00:00+04:00,2024-08-22T20:00:00Z,2024-08-23T20:00:00Z,26.5,17.15416669845581,35.30000019073486,25.397916634877525,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-24T00:00:00+04:00,2024-08-25T00:00:00+04:00,2024-08-23T20:00:00Z,2024-08-24T20:00:00Z,27.2,16.933333317438763,41.59999958674113,27.072916666666668,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-25T00:00:00+04:00,2024-08-26T00:00:00+04:00,2024-08-24T20:00:00Z,2024-08-25T20:00:00Z,28.7,12.233333269755045,44.82499980926514,27.066666920979817,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-08-26T00:00:00+04:00,2024-08-27T00:00:00+04:00,2024-08-25T20:00:00Z,2024-08-26T20:00:00Z,54.8,37.11249987284342,74.13333320617676,48.556249936421715,24,24,100.0,100.0
