location_name,date,latitude,longitude,timezone,humidity,pm10,pm25,temperature,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,wind_speed_meteostat,pressure_meteostat,cloud_cover_meteostat,hourly_rows,pm25_non_null_hours,pm10_non_null_hours,temperature_non_null_hours
Dubai Motor City,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,44.357142857142854,18.605,18.044999999999998,35.528571428571425,35.035714285714285,32.2,38.7,44.357142857142854,0.0,14.207142857142857,1011.3714285714285,0.7857142857142857,14,14,14,14
Dubai Motor City,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,54.041666666666664,25.72083333333333,24.129166666666666,33.475,32.59166666666667,29.7,36.8,54.041666666666664,0.0,14.8125,1010.5166666666665,0.4583333333333333,24,24,24,24
Dubai Motor City,2024-10-10,25.04613617696849,55.24946085563235,Asia/Dubai,60.958333333333336,51.35833333333333,45.92916666666667,33.77916666666667,32.30833333333333,28.6,36.6,60.958333333333336,0.1,12.604166666666666,1009.1541666666667,0.7916666666666666,24,24,24,24
Dubai Motor City,2024-10-11,25.04613617696849,55.24946085563235,Asia/Dubai,64.6,51.870000000000005,43.67,31.119999999999997,30.360000000000003,29.7,32.0,64.6,0.0,7.279999999999999,1009.0799999999999,0.0,10,10,10,10
Dubai Motor City,2024-10-14,25.04613617696849,55.24946085563235,Asia/Dubai,37.5,29.309999999999995,26.99,32.660000000000004,34.5,31.5,37.5,37.5,0.0,18.79,1007.9399999999999,0.1,10,10,10,10
Dubai Motor City,2024-10-15,25.04613617696849,55.24946085563235,Asia/Dubai,48.166666666666664,29.46666666666667,27.3625,32.833333333333336,32.6,28.7,37.7,48.166666666666664,0.0,17.166666666666668,1009.5583333333333,0.9166666666666666,24,24,24,24
Dubai Motor City,2024-10-16,25.04613617696849,55.24946085563235,Asia/Dubai,54.041666666666664,18.36375,17.959583333333335,32.608333333333334,31.849999999999998,28.5,37.0,54.041666666666664,0.0,16.879166666666666,1009.9875000000001,1.2083333333333333,24,24,24,24
Dubai Motor City,2024-10-17,25.04613617696849,55.24946085563235,Asia/Dubai,58.333333333333336,8.008333333333333,7.791250000000001,33.31666666666667,31.5625,28.7,35.0,58.333333333333336,0.0,14.012500000000001,1009.5958333333333,1.0,24,24,24,24
Dubai Motor City,2024-10-18,25.04613617696849,55.24946085563235,Asia/Dubai,61.916666666666664,17.413333333333334,17.018333333333334,33.612500000000004,32.199999999999996,28.2,36.1,61.916666666666664,0.0,12.183333333333332,1008.6333333333333,1.375,24,24,24,24
Dubai Motor City,2024-10-19,25.04613617696849,55.24946085563235,Asia/Dubai,58.5,24.695833333333336,23.175,34.38333333333333,32.94166666666667,29.0,37.0,58.5,0.0,13.058333333333332,1009.65,1.8333333333333333,24,24,24,24
