location_name,datetime_local,date,latitude,longitude,timezone,humidity,pm10,pm25,temperature,temp_meteostat_hourly,humidity_meteostat_hourly,precipitation_meteostat_hourly,wind_speed_meteostat_hourly,pressure_meteostat_hourly,cloud_cover_meteostat_hourly,pm25_coverage_percent_complete,pm10_coverage_percent_complete,temperature_coverage_percent_complete
Dubai Motor City,2024-10-08 10:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,48,10.4,9.86,37.1,33.9,48,0.0,19.6,1013.8,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 11:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,40,9.1,8.63,36.6,35.7,40,0.0,13.3,1013.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 12:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,35,9.62,9.24,37.3,36.7,35,0.0,12.0,1012.3,1,100.0,100.0,100.0
Dubai Motor City,2024-10-08 13:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,29,9.65,9.2,37.7,37.6,29,0.0,6.7,1011.6,1,100.0,100.0,100.0
Dubai Motor City,2024-10-08 14:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,23,14.6,14.3,38.0,38.7,23,0.0,14.3,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 15:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,28,21.6,20.9,37.6,38.5,28,0.0,25.4,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 16:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,41,19.2,18.6,36.3,35.9,41,0.0,24.9,1010.3,2,100.0,100.0,100.0
Dubai Motor City,2024-10-08 17:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,43,21.3,20.6,35.8,35.7,43,0.0,20.1,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 18:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,47,22.1,21.4,35.0,34.7,47,0.0,15.7,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-08 19:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,54,23.3,22.9,34.0,33.7,54,0.0,7.5,1010.9,2,100.0,100.0,100.0
Dubai Motor City,2024-10-08 20:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,58,23.1,22.3,33.6,32.5,58,0.0,12.8,1011.3,2,100.0,100.0,100.0
Dubai Motor City,2024-10-08 21:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,61,24.5,24.0,33.1,32.5,61,0.0,10.1,1011.3,1,100.0,100.0,100.0
Dubai Motor City,2024-10-08 22:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,57,25.3,24.8,32.8,32.2,57,0.0,8.5,1011.9,1,100.0,100.0,100.0
Dubai Motor City,2024-10-08 23:00:00,2024-10-08,25.04613617696849,55.24946085563235,Asia/Dubai,57,26.7,25.9,32.5,32.2,57,0.0,8.0,1011.3,1,100.0,100.0,100.0
Dubai Motor City,2024-10-09 00:00:00,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,63,26.9,26.0,32.0,31.2,63,0.0,7.2,1011.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-09 01:00:00,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,63,21.0,20.4,30.8,30.7,63,0.0,9.4,1011.5,0,100.0,100.0,100.0
Dubai Motor City,2024-10-09 02:00:00,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,63,19.3,18.8,30.7,30.7,63,0.0,5.6,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-09 03:00:00,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,65,24.1,23.6,30.7,30.0,65,0.0,5.0,1010.3,0,100.0,100.0,100.0
Dubai Motor City,2024-10-09 04:00:00,2024-10-09,25.04613617696849,55.24946085563235,Asia/Dubai,63,19.8,19.4,30.1,30.4,63,0.0,7.4,1010.8,0,100.0,100.0,100.0
