location_name,datetime_local,date,temp_meteostat_hourly,humidity_meteostat_hourly,precipitation_meteostat_hourly,wind_speed_meteostat_hourly,pressure_meteostat_hourly,cloud_cover_meteostat_hourly
Dubai Motor City,2024-07-25 21:00:00,2024-07-25,38.7,35,0.0,12.8,992.3,1
Dubai Motor City,2024-07-25 22:00:00,2024-07-25,37.4,43,0.0,11.7,992.9,1
Dubai Motor City,2024-07-25 23:00:00,2024-07-25,37.0,46,0.0,8.8,993.0,0
Dubai Motor City,2024-07-26 00:00:00,2024-07-26,36.0,54,0.0,7.2,992.3,0
Dubai Motor City,2024-07-26 01:00:00,2024-07-26,35.7,57,0.0,9.3,992.4,0
Dubai Motor City,2024-07-26 02:00:00,2024-07-26,35.0,56,0.0,11.1,992.0,0
Dubai Motor City,2024-07-26 03:00:00,2024-07-26,34.7,52,0.0,9.8,992.3,0
Dubai Motor City,2024-07-26 04:00:00,2024-07-26,32.9,66,0.0,11.1,992.5,0
Dubai Motor City,2024-07-26 05:00:00,2024-07-26,32.0,66,0.0,13.3,992.3,1
Dubai Motor City,2024-07-26 06:00:00,2024-07-26,32.0,66,0.0,12.5,993.0,0
Dubai Motor City,2024-07-26 07:00:00,2024-07-26,32.5,58,0.0,13.0,993.9,2
Dubai Motor City,2024-07-26 08:00:00,2024-07-26,34.0,52,0.0,12.2,994.3,0
Dubai Motor City,2024-07-26 09:00:00,2024-07-26,35.3,56,0.0,9.8,994.3,0
Dubai Motor City,2024-07-26 10:00:00,2024-07-26,37.5,53,0.0,11.7,994.9,0
Dubai Motor City,2024-07-26 11:00:00,2024-07-26,39.0,42,0.0,15.4,995.0,0
Dubai Motor City,2024-07-26 12:00:00,2024-07-26,40.0,38,0.0,16.7,994.3,0
Dubai Motor City,2024-07-26 13:00:00,2024-07-26,40.6,32,0.0,16.1,994.5,0
Dubai Motor City,2024-07-26 14:00:00,2024-07-26,42.0,23,0.0,21.4,994.0,0
Dubai Motor City,2024-07-26 15:00:00,2024-07-26,42.0,20,0.0,22.7,994.0,0
Dubai Motor City,2024-07-26 16:00:00,2024-07-26,41.8,24,0.0,22.2,993.9,0
Dubai Motor City,2024-07-26 17:00:00,2024-07-26,41.0,28,0.0,20.3,993.3,1
Dubai Motor City,2024-07-26 18:00:00,2024-07-26,41.0,25,0.0,18.0,994.0,1
Dubai Motor City,2024-07-26 19:00:00,2024-07-26,40.0,26,0.0,14.9,994.3,1
Dubai Motor City,2024-07-26 20:00:00,2024-07-26,39.7,29,0.0,5.8,995.0,0
Dubai Motor City,2024-07-26 21:00:00,2024-07-26,39.0,33,0.0,6.3,995.3,0
